resource_class,partition,nodes,nodes_per_researcher,time_limit_hours,time_limit_display,priority_tier,as_of_date,source
CPU,interactive,52,1,2,"2 hours",20,2026-09-01,"User-provided Cheaha Available Slurm Partitions screenshot"
CPU,express,52,UNLIMITED,2,"2 hours",20,2026-09-01,"User-provided Cheaha Available Slurm Partitions screenshot"
CPU,short,52,44,12,"12 hours",16,2026-09-01,"User-provided Cheaha Available Slurm Partitions screenshot"
CPU,medium,52,44,50,"2 days, 2 hours",12,2026-09-01,"User-provided Cheaha Available Slurm Partitions screenshot"
CPU,long,52,5,150,"6 days, 6 hours",8,2026-09-01,"User-provided Cheaha Available Slurm Partitions screenshot"
CPU,intel-dcb,21,5,150,"6 days, 6 hours",8,2026-09-01,"User-provided Cheaha Available Slurm Partitions screenshot"
CPU,amd-hdr100,33,5,150,"6 days, 6 hours",8,2026-09-01,"User-provided Cheaha Available Slurm Partitions screenshot"
GPU,amperenodes,20,2,12,"12 hours",16,2026-09-01,"User-provided Cheaha Available Slurm Partitions screenshot"
GPU,amperenodes-medium,10,2,48,"2 days, 0 hours",16,2026-09-01,"User-provided Cheaha Available Slurm Partitions screenshot"
GPU,pascalnodes,18,UNLIMITED,12,"12 hours",16,2026-09-01,"User-provided Cheaha Available Slurm Partitions screenshot"
GPU,pascalnodes-medium,7,UNLIMITED,48,"2 days, 0 hours",15,2026-09-01,"User-provided Cheaha Available Slurm Partitions screenshot"
Large memory,largemem,14,10,50,"2 days, 2 hours",6,2026-09-01,"User-provided Cheaha Available Slurm Partitions screenshot"
Large memory,largemem-long,5,10,150,"6 days, 6 hours",6,2026-09-01,"User-provided Cheaha Available Slurm Partitions screenshot"
