JobIDRaw|JobName|State|Elapsed|Timelimit|ReqMem|MaxRSS|AllocCPUS|TotalCPU|ExitCode
37042218|ood-r-4.4.1-gfbf-2023b|CANCELLED by 13047|18:24:32|1-00:00:00|50Gc||5|00:53.964|0:0
37042218.batch|batch|CANCELLED|18:24:33||50Gc|6988076K|5|00:53.963|0:15
37042218.extern|extern|COMPLETED|18:24:32||50Gc|2864K|5|00:00.001|0:0
37047244|ood-vnc|TIMEOUT|08:00:29|08:00:00|4Gc||1|00:01.153|0:0
37047244.batch|batch|CANCELLED|08:00:30||4Gc|96812K|1|00:01.152|0:15
37047244.extern|extern|COMPLETED|08:00:29||4Gc|2680K|1|00:00.001|0:0
37048765|ood-r-4.4.0-foss-2022b|TIMEOUT|1-00:00:23|1-00:00:00|50Gc||5|26:06.770|0:0
37048765.batch|batch|CANCELLED|1-00:00:24||50Gc|23220740K|5|26:06.769|0:15
37048765.extern|extern|COMPLETED|1-00:00:23||50Gc|2864K|5|00:00.001|0:0
37063564|ood-r-4.4.0-foss-2022b|TIMEOUT|1-00:00:10|1-00:00:00|50Gc||5|01:03.918|0:0
37063564.batch|batch|CANCELLED|1-00:00:12||50Gc|21555604K|5|01:03.916|0:15
37063564.extern|extern|COMPLETED|1-00:00:10||50Gc|2864K|5|00:00.001|0:0
37069679|test_srun|FAILED|00:17:10|01:00:00|8Gc||2|00:07.251|0:9
37069679.extern|extern|COMPLETED|00:17:10||8Gc|3456K|2|00:00.001|0:0
37069679.0|test_srun|COMPLETED|00:17:09||8Gc|6548K|2|00:07.250|0:0
37069721|test_srun|TIMEOUT|01:00:19|01:00:00|8Gc||2|14:31.844|0:0
37069721.extern|extern|COMPLETED|01:00:19||8Gc|2892K|2|00:00.002|0:0
37069721.0|test_srun|COMPLETED|01:00:49||8Gc|9349584K|2|14:31.841|0:0
37069864|test_srun|FAILED|00:52:57|01:00:00|8Gc||2|18:50.767|0:9
37069864.extern|extern|COMPLETED|00:52:57||8Gc|2864K|2|00:00.001|0:0
37069864.0|test_srun|COMPLETED|00:52:57||8Gc|9794156K|2|18:50.766|0:0
37073638|ood-r-4.4.0-foss-2022b|CANCELLED by 13047|23:52:51|1-00:00:00|50Gc||5|00:38.916|0:0
37073638.batch|batch|CANCELLED|23:52:53||50Gc|10393560K|5|00:38.915|0:15
37073638.extern|extern|COMPLETED|23:52:51||50Gc|3460K|5|00:00.001|0:0
37088939|ood-r-4.4.0-foss-2022b|CANCELLED by 13047|21:18:08|1-00:00:00|50Gc||5|00:41.796|0:0
37088939.batch|batch|CANCELLED|21:18:08||50Gc|10040884K|5|00:41.795|0:15
37088939.extern|extern|COMPLETED|21:18:08||50Gc|348K|5|00:00.001|0:0
37088994|test_srun|FAILED|00:15:26|01:00:00|8Gc||2|00:05.639|0:9
37088994.extern|extern|COMPLETED|00:15:26||8Gc|2864K|2|00:00:00|0:0
37088994.0|test_srun|COMPLETED|00:15:26||8Gc|9020K|2|00:05.638|0:0
37089015|test_srun|FAILED|00:11:10|01:00:00|8Gc||2|01:04.761|0:9
37089015.extern|extern|COMPLETED|00:11:10||8Gc|3456K|2|00:00:00|0:0
37089015.0|test_srun|COMPLETED|00:11:09||8Gc|87636K|2|01:04.760|0:0
37089030|test_srun|TIMEOUT|01:00:14|01:00:00|8Gc||2|00:09.634|0:0
37089030.extern|extern|COMPLETED|01:00:15||8Gc|3456K|2|00:00.001|0:0
37089030.0|test_srun|COMPLETED|01:00:47||8Gc|6708K|2|00:09.632|0:0
37089040|bwa_mapping|FAILED|00:00:01|01:00:00|1Gc||4|00:00.367|1:0
37089040.batch|batch|FAILED|00:00:01||1Gc|3768K|4|00:00.366|1:0
37089040.extern|extern|COMPLETED|00:00:02||1Gc|3456K|4|00:00.001|0:0
37089050|bwa_mapping|COMPLETED|00:26:45|01:00:00|1Gc||4|01:36:42|0:0
37089050.batch|batch|COMPLETED|00:26:45||1Gc|3938264K|4|01:36:42|0:0
37089050.extern|extern|COMPLETED|00:26:45||1Gc|2864K|4|00:00:00|0:0
37095310|ood-r-4.4.0-foss-2022b|CANCELLED by 13047|03:14:27|1-00:00:00|50Gc||8|00:02.801|0:0
37095310.batch|batch|CANCELLED|03:14:28||50Gc|13226004K|8|00:02.800|0:15
37095310.extern|extern|COMPLETED|03:14:27||50Gc|348K|8|00:00.001|0:0
37096546|ood-r-4.4.0-foss-2022b|TIMEOUT|1-00:00:11|1-00:00:00|50Gc||5|01:28.009|0:0
37096546.batch|batch|CANCELLED|1-00:00:12||50Gc|32257888K|5|01:28.009|0:15
37106171|ood-r-4.4.0-foss-2022b|CANCELLED by 13047|23:50:13|1-00:00:00|50Gc||5|01:06.973|0:0
37106171.batch|batch|CANCELLED|23:50:14||50Gc|85590676K|5|01:06.972|0:15
37106171.extern|extern|COMPLETED|23:50:13||50Gc|2864K|5|00:00:00|0:0
37112805|ood-r-4.4.0-foss-2022b|CANCELLED by 13047|02:28:39|1-00:00:00|50Gc||8|00:42.002|0:0
37112805.batch|batch|CANCELLED|02:28:40||50Gc|14397228K|8|00:42.001|0:15
37112805.extern|extern|COMPLETED|02:28:39||50Gc|2864K|8|00:00:00|0:0
37113118|ood-r-4.4.0-foss-2022b|CANCELLED by 13047|02:08:36|1-00:00:00|50Gc||8|14:52.359|0:0
37113118.batch|batch|CANCELLED|02:08:38||50Gc|16372048K|8|14:52.358|0:15
37113118.extern|extern|COMPLETED|02:08:36||50Gc|2680K|8|00:00.001|0:0
37113388|ood-r-4.4.0-foss-2022b|CANCELLED by 13047|20:04:39|1-00:00:00|64Gc||12|01:12:33|0:0
37113388.batch|batch|CANCELLED|20:04:41||64Gc|102061760K|12|01:12:33|0:15
37113388.extern|extern|COMPLETED|20:04:39||64Gc|2900K|12|00:00.001|0:0
37117344|test_srun|FAILED|00:04:25|08:00:00|8Gc||2|00:11.611|0:9
37117344.extern|extern|COMPLETED|00:04:25||8Gc|3456K|2|00:00.001|0:0
37117344.0|test_srun|COMPLETED|00:04:24||8Gc|9720K|2|00:11.609|0:0
37117569|test_srun|FAILED|06:07:48|08:00:00|8Gc||2|00:00.905|0:9
37117569.extern|extern|COMPLETED|06:07:48||8Gc|2680K|2|00:00:00|0:0
37117569.0|test_srun|COMPLETED|06:07:48||8Gc|3600K|2|00:00.904|0:0
37119376|ood-r-4.4.0-foss-2022b|TIMEOUT|1-00:00:04|1-00:00:00|64Gc||12|01:22.239|0:0
37119376.batch|batch|CANCELLED|1-00:00:06||64Gc|13932K|12|01:22.237|0:15
37119376.extern|extern|COMPLETED|1-00:00:04||64Gc|2900K|12|00:00.001|0:0
37128173|ood-r-4.4.0-foss-2022b|CANCELLED by 13047|00:00:00|1-00:00:00|64Gc||12|00:00:00|0:0
37128174|ood-r-4.4.0-foss-2022b|CANCELLED by 13047|00:00:00|12:00:00|64Gc||12|00:00:00|0:0
37128178|ood-r-4.4.0-foss-2022b|FAILED|00:00:00|12:00:00|64Gc||12|00:00:00|1:0
37128179|ood-r-4.4.0-foss-2022b|TIMEOUT|12:00:01|12:00:00|64Gc||12|00:33.278|0:0
37128179.batch|batch|CANCELLED|12:00:02||64Gc|13840K|12|00:33.277|0:15
37128179.extern|extern|COMPLETED|12:00:01||64Gc|2900K|12|00:00.001|0:0
37129097|ood-r-4.4.0-foss-2022b|CANCELLED by 13047|00:00:00|12:00:00|64Gc||12|00:00:00|0:0
